Country Name,Country Code,Indicator Name,PopulationDepedency,Year
Aruba,ABW,Age dependency ratio (% of working-age population),86.32660778,1960
Africa Eastern and Southern,AFE,Age dependency ratio (% of working-age population),88.05569442,1960
Afghanistan,AFG,Age dependency ratio (% of working-age population),81.61726559,1960
Africa Western and Central,AFW,Age dependency ratio (% of working-age population),80.68022846,1960
Angola,AGO,Age dependency ratio (% of working-age population),82.27888284,1960
Albania,ALB,Age dependency ratio (% of working-age population),83.71052556,1960
Andorra,AND,Age dependency ratio (% of working-age population),0.0,1960
Arab World,ARB,Age dependency ratio (% of working-age population),88.06112205,1960
United Arab Emirates,ARE,Age dependency ratio (% of working-age population),92.29904909,1960
Argentina,ARG,Age dependency ratio (% of working-age population),57.68394893,1960
Armenia,ARM,Age dependency ratio (% of working-age population),81.82778684,1960
American Samoa,ASM,Age dependency ratio (% of working-age population),0.0,1960
Antigua and Barbuda,ATG,Age dependency ratio (% of working-age population),89.46484197,1960
Australia,AUS,Age dependency ratio (% of working-age population),63.37707765,1960
Austria,AUT,Age dependency ratio (% of working-age population),52.40304592,1960
Azerbaijan,AZE,Age dependency ratio (% of working-age population),81.53973776,1960
Burundi,BDI,Age dependency ratio (% of working-age population),87.81574768,1960
Belgium,BEL,Age dependency ratio (% of working-age population),54.7612015,1960
Benin,BEN,Age dependency ratio (% of working-age population),77.15860451,1960
Burkina Faso,BFA,Age dependency ratio (% of working-age population),77.4678554,1960
Bangladesh,BGD,Age dependency ratio (% of working-age population),80.98499917,1960
Bulgaria,BGR,Age dependency ratio (% of working-age population),50.75840308,1960
Bahrain,BHR,Age dependency ratio (% of working-age population),79.4835245,1960
"Bahamas, The",BHS,Age dependency ratio (% of working-age population),85.80176757,1960
Bosnia and Herzegovina,BIH,Age dependency ratio (% of working-age population),70.7449458,1960
Belarus,BLR,Age dependency ratio (% of working-age population),59.36273567,1960
Belize,BLZ,Age dependency ratio (% of working-age population),97.72780963,1960
Bermuda,BMU,Age dependency ratio (% of working-age population),0.0,1960
Bolivia,BOL,Age dependency ratio (% of working-age population),84.36895167,1960
Brazil,BRA,Age dependency ratio (% of working-age population),86.27818968,1960
Barbados,BRB,Age dependency ratio (% of working-age population),81.53917493,1960
Brunei Darussalam,BRN,Age dependency ratio (% of working-age population),90.07374322,1960
Bhutan,BTN,Age dependency ratio (% of working-age population),80.047414,1960
Botswana,BWA,Age dependency ratio (% of working-age population),92.05802239,1960
Central African Republic,CAF,Age dependency ratio (% of working-age population),75.49964764,1960
Canada,CAN,Age dependency ratio (% of working-age population),70.72416217,1960
Central Europe and the Baltics,CEB,Age dependency ratio (% of working-age population),57.41187553,1960
Switzerland,CHE,Age dependency ratio (% of working-age population),52.26983159,1960
Channel Islands,CHI,Age dependency ratio (% of working-age population),53.10637226,1960
Chile,CHL,Age dependency ratio (% of working-age population),76.05889853,1960
China,CHN,Age dependency ratio (% of working-age population),77.02467967,1960
Cote d'Ivoire,CIV,Age dependency ratio (% of working-age population),83.31790667,1960
Cameroon,CMR,Age dependency ratio (% of working-age population),77.85506976,1960
"Congo, Dem. Rep.",COD,Age dependency ratio (% of working-age population),86.21540638,1960
"Congo, Rep.",COG,Age dependency ratio (% of working-age population),82.62549232,1960
Colombia,COL,Age dependency ratio (% of working-age population),98.46524726,1960
Comoros,COM,Age dependency ratio (% of working-age population),80.21536605,1960
Cabo Verde,CPV,Age dependency ratio (% of working-age population),89.35760875,1960
Costa Rica,CRI,Age dependency ratio (% of working-age population),93.48852695,1960
Caribbean small states,CSS,Age dependency ratio (% of working-age population),90.31104652,1960
Cuba,CUB,Age dependency ratio (% of working-age population),65.87464845,1960
Curacao,CUW,Age dependency ratio (% of working-age population),85.50453262,1960
Cayman Islands,CYM,Age dependency ratio (% of working-age population),0.0,1960
Cyprus,CYP,Age dependency ratio (% of working-age population),74.24916591,1960
Czech Republic,CZE,Age dependency ratio (% of working-age population),54.06396812,1960
Germany,DEU,Age dependency ratio (% of working-age population),49.08414829,1960
Djibouti,DJI,Age dependency ratio (% of working-age population),84.06990052,1960
Dominica,DMA,Age dependency ratio (% of working-age population),0.0,1960
Denmark,DNK,Age dependency ratio (% of working-age population),55.78848752,1960
Dominican Republic,DOM,Age dependency ratio (% of working-age population),103.1276091,1960
Algeria,DZA,Age dependency ratio (% of working-age population),91.64957057,1960
East Asia & Pacific (excluding high income),EAP,Age dependency ratio (% of working-age population),78.35760241,1960
Early-demographic dividend,EAR,Age dependency ratio (% of working-age population),80.60631622,1960
East Asia & Pacific,EAS,Age dependency ratio (% of working-age population),76.54416969,1960
Europe & Central Asia (excluding high income),ECA,Age dependency ratio (% of working-age population),61.65625582,1960
Europe & Central Asia,ECS,Age dependency ratio (% of working-age population),57.89636502,1960
Ecuador,ECU,Age dependency ratio (% of working-age population),92.68166083,1960
"Egypt, Arab Rep.",EGY,Age dependency ratio (% of working-age population),84.87045722,1960
Euro area,EMU,Age dependency ratio (% of working-age population),54.86993178,1960
Eritrea,ERI,Age dependency ratio (% of working-age population),85.88501387,1960
Spain,ESP,Age dependency ratio (% of working-age population),55.22367041,1960
Estonia,EST,Age dependency ratio (% of working-age population),50.70705136,1960
Ethiopia,ETH,Age dependency ratio (% of working-age population),85.52864937,1960
European Union,EUU,Age dependency ratio (% of working-age population),55.45054404,1960
Fragile and conflict affected situations,FCS,Age dependency ratio (% of working-age population),83.26809883,1960
Finland,FIN,Age dependency ratio (% of working-age population),60.6031491,1960
Fiji,FJI,Age dependency ratio (% of working-age population),101.9715635,1960
France,FRA,Age dependency ratio (% of working-age population),61.32245575,1960
Faroe Islands,FRO,Age dependency ratio (% of working-age population),0.0,1960
"Micronesia, Fed. Sts.",FSM,Age dependency ratio (% of working-age population),95.69996483,1960
Gabon,GAB,Age dependency ratio (% of working-age population),62.74692,1960
United Kingdom,GBR,Age dependency ratio (% of working-age population),53.66414056,1960
Georgia,GEO,Age dependency ratio (% of working-age population),59.35432997,1960
Ghana,GHA,Age dependency ratio (% of working-age population),86.81487271,1960
Gibraltar,GIB,Age dependency ratio (% of working-age population),0.0,1960
Guinea,GIN,Age dependency ratio (% of working-age population),78.08386877,1960
"Gambia, The",GMB,Age dependency ratio (% of working-age population),80.62880074,1960
Guinea-Bissau,GNB,Age dependency ratio (% of working-age population),77.3804897,1960
Equatorial Guinea,GNQ,Age dependency ratio (% of working-age population),76.16806955,1960
Greece,GRC,Age dependency ratio (% of working-age population),52.43522021,1960
Grenada,GRD,Age dependency ratio (% of working-age population),117.5484433,1960
Greenland,GRL,Age dependency ratio (% of working-age population),0.0,1960
Guatemala,GTM,Age dependency ratio (% of working-age population),94.40978961,1960
Guam,GUM,Age dependency ratio (% of working-age population),71.40472093,1960
Guyana,GUY,Age dependency ratio (% of working-age population),99.84307887,1960
High income,HIC,Age dependency ratio (% of working-age population),60.85753428,1960
"Hong Kong SAR, China",HKG,Age dependency ratio (% of working-age population),76.55956151,1960
Honduras,HND,Age dependency ratio (% of working-age population),98.14493892,1960
Heavily indebted poor countries (HIPC),HPC,Age dependency ratio (% of working-age population),85.81756414,1960
Croatia,HRV,Age dependency ratio (% of working-age population),52.53356696,1960
Haiti,HTI,Age dependency ratio (% of working-age population),76.98722321,1960
Hungary,HUN,Age dependency ratio (% of working-age population),52.24677603,1960
IBRD only,IBD,Age dependency ratio (% of working-age population),76.74806063,1960
IDA & IBRD total,IBT,Age dependency ratio (% of working-age population),77.82922259,1960
IDA total,IDA,Age dependency ratio (% of working-age population),83.31129186,1960
IDA blend,IDB,Age dependency ratio (% of working-age population),81.25285419,1960
Indonesia,IDN,Age dependency ratio (% of working-age population),76.97825453,1960
IDA only,IDX,Age dependency ratio (% of working-age population),84.27044559,1960
Isle of Man,IMN,Age dependency ratio (% of working-age population),0.0,1960
India,IND,Age dependency ratio (% of working-age population),76.99904462,1960
Not classified,INX,Age dependency ratio (% of working-age population),0.0,1960
Ireland,IRL,Age dependency ratio (% of working-age population),72.94540963,1960
"Iran, Islamic Rep.",IRN,Age dependency ratio (% of working-age population),87.77886009,1960
Iraq,IRQ,Age dependency ratio (% of working-age population),80.39415355,1960
Iceland,ISL,Age dependency ratio (% of working-age population),75.24903679,1960
Israel,ISR,Age dependency ratio (% of working-age population),69.87238002,1960
Italy,ITA,Age dependency ratio (% of working-age population),52.89314545,1960
Jamaica,JAM,Age dependency ratio (% of working-age population),84.47927428,1960
Jordan,JOR,Age dependency ratio (% of working-age population),91.58199039,1960
Japan,JPN,Age dependency ratio (% of working-age population),55.96900437,1960
Kazakhstan,KAZ,Age dependency ratio (% of working-age population),72.29747741,1960
Kenya,KEN,Age dependency ratio (% of working-age population),100.9743196,1960
Kyrgyz Republic,KGZ,Age dependency ratio (% of working-age population),76.60444361,1960
Cambodia,KHM,Age dependency ratio (% of working-age population),93.3028073,1960
Kiribati,KIR,Age dependency ratio (% of working-age population),95.94748858,1960
St. Kitts and Nevis,KNA,Age dependency ratio (% of working-age population),0.0,1960
"Korea, Rep.",KOR,Age dependency ratio (% of working-age population),87.28454214,1960
Kuwait,KWT,Age dependency ratio (% of working-age population),57.2662863,1960
Latin America & Caribbean (excluding high income),LAC,Age dependency ratio (% of working-age population),86.74252789,1960
Lao PDR,LAO,Age dependency ratio (% of working-age population),81.00765204,1960
Lebanon,LBN,Age dependency ratio (% of working-age population),90.70086373,1960
Liberia,LBR,Age dependency ratio (% of working-age population),79.49197252,1960
Libya,LBY,Age dependency ratio (% of working-age population),83.93518401,1960
St. Lucia,LCA,Age dependency ratio (% of working-age population),95.39493748,1960
Latin America & Caribbean,LCN,Age dependency ratio (% of working-age population),86.29671426,1960
Least developed countries: UN classification,LDC,Age dependency ratio (% of working-age population),83.64532372,1960
Low income,LIC,Age dependency ratio (% of working-age population),84.46772554,1960
Liechtenstein,LIE,Age dependency ratio (% of working-age population),0.0,1960
Sri Lanka,LKA,Age dependency ratio (% of working-age population),87.10170801,1960
Lower middle income,LMC,Age dependency ratio (% of working-age population),79.00596487,1960
Low & middle income,LMY,Age dependency ratio (% of working-age population),77.93828985,1960
Lesotho,LSO,Age dependency ratio (% of working-age population),96.94768536,1960
Late-demographic dividend,LTE,Age dependency ratio (% of working-age population),75.49312411,1960
Lithuania,LTU,Age dependency ratio (% of working-age population),53.99720443,1960
Luxembourg,LUX,Age dependency ratio (% of working-age population),47.07232528,1960
Latvia,LVA,Age dependency ratio (% of working-age population),48.40240189,1960
"Macao SAR, China",MAC,Age dependency ratio (% of working-age population),87.89612775,1960
St. Martin (French part),MAF,Age dependency ratio (% of working-age population),0.0,1960
Morocco,MAR,Age dependency ratio (% of working-age population),91.15793169,1960
Monaco,MCO,Age dependency ratio (% of working-age population),0.0,1960
Moldova,MDA,Age dependency ratio (% of working-age population),61.20758337,1960
Madagascar,MDG,Age dependency ratio (% of working-age population),85.01826647,1960
Maldives,MDV,Age dependency ratio (% of working-age population),69.50453594,1960
Middle East & North Africa,MEA,Age dependency ratio (% of working-age population),87.40475377,1960
Mexico,MEX,Age dependency ratio (% of working-age population),96.51482495,1960
Marshall Islands,MHL,Age dependency ratio (% of working-age population),0.0,1960
Middle income,MIC,Age dependency ratio (% of working-age population),77.51500927,1960
North Macedonia,MKD,Age dependency ratio (% of working-age population),74.4852774,1960
Mali,MLI,Age dependency ratio (% of working-age population),75.73385362,1960
Malta,MLT,Age dependency ratio (% of working-age population),86.48171731,1960
Myanmar,MMR,Age dependency ratio (% of working-age population),77.98574538,1960
Middle East & North Africa (excluding high income),MNA,Age dependency ratio (% of working-age population),87.8647142,1960
Montenegro,MNE,Age dependency ratio (% of working-age population),69.48746072,1960
Mongolia,MNG,Age dependency ratio (% of working-age population),71.89288278,1960
Northern Mariana Islands,MNP,Age dependency ratio (% of working-age population),0.0,1960
Mozambique,MOZ,Age dependency ratio (% of working-age population),82.76089685,1960
Mauritania,MRT,Age dependency ratio (% of working-age population),86.89727625,1960
Mauritius,MUS,Age dependency ratio (% of working-age population),96.39206272,1960
Malawi,MWI,Age dependency ratio (% of working-age population),88.67879785,1960
Malaysia,MYS,Age dependency ratio (% of working-age population),95.73659605,1960
North America,NAC,Age dependency ratio (% of working-age population),66.54590497,1960
Namibia,NAM,Age dependency ratio (% of working-age population),82.92319186,1960
New Caledonia,NCL,Age dependency ratio (% of working-age population),69.50970926,1960
Niger,NER,Age dependency ratio (% of working-age population),97.72781642,1960
Nigeria,NGA,Age dependency ratio (% of working-age population),79.96040258,1960
Nicaragua,NIC,Age dependency ratio (% of working-age population),99.31117431,1960
Netherlands,NLD,Age dependency ratio (% of working-age population),63.84335517,1960
Norway,NOR,Age dependency ratio (% of working-age population),58.64286784,1960
Nepal,NPL,Age dependency ratio (% of working-age population),75.30128048,1960
Nauru,NRU,Age dependency ratio (% of working-age population),0.0,1960
New Zealand,NZL,Age dependency ratio (% of working-age population),71.00598499,1960
OECD members,OED,Age dependency ratio (% of working-age population),63.25928452,1960
Oman,OMN,Age dependency ratio (% of working-age population),87.37816268,1960
Other small states,OSS,Age dependency ratio (% of working-age population),78.25411868,1960
Pakistan,PAK,Age dependency ratio (% of working-age population),77.27539137,1960
Panama,PAN,Age dependency ratio (% of working-age population),90.44181297,1960
Peru,PER,Age dependency ratio (% of working-age population),89.33828067,1960
Philippines,PHL,Age dependency ratio (% of working-age population),100.4648817,1960
Palau,PLW,Age dependency ratio (% of working-age population),0.0,1960
Papua New Guinea,PNG,Age dependency ratio (% of working-age population),82.19821118,1960
Poland,POL,Age dependency ratio (% of working-age population),64.60884208,1960
Pre-demographic dividend,PRE,Age dependency ratio (% of working-age population),84.2542126,1960
Puerto Rico,PRI,Age dependency ratio (% of working-age population),91.94514179,1960
"Korea, Dem. People's Rep.",PRK,Age dependency ratio (% of working-age population),69.32287533,1960
Portugal,PRT,Age dependency ratio (% of working-age population),59.55498978,1960
Paraguay,PRY,Age dependency ratio (% of working-age population),104.7946288,1960
