Country Name,Country Code,Indicator Name,GDP_perCapita,Year
Aruba,ABW,GDP per capita (current US$),0.0,1960
Africa Eastern and Southern,AFE,GDP per capita (current US$),147.4503693,1960
Afghanistan,AFG,GDP per capita (current US$),59.7732337,1960
Africa Western and Central,AFW,GDP per capita (current US$),107.9637786,1960
Angola,AGO,GDP per capita (current US$),0.0,1960
Albania,ALB,GDP per capita (current US$),0.0,1960
Andorra,AND,GDP per capita (current US$),0.0,1960
Arab World,ARB,GDP per capita (current US$),0.0,1960
United Arab Emirates,ARE,GDP per capita (current US$),0.0,1960
Argentina,ARG,GDP per capita (current US$),0.0,1960
Armenia,ARM,GDP per capita (current US$),0.0,1960
American Samoa,ASM,GDP per capita (current US$),0.0,1960
Antigua and Barbuda,ATG,GDP per capita (current US$),0.0,1960
Australia,AUS,GDP per capita (current US$),1807.78571,1960
Austria,AUT,GDP per capita (current US$),935.4604269,1960
Azerbaijan,AZE,GDP per capita (current US$),0.0,1960
Burundi,BDI,GDP per capita (current US$),70.0519099,1960
Belgium,BEL,GDP per capita (current US$),1273.691659,1960
Benin,BEN,GDP per capita (current US$),93.02270027,1960
Burkina Faso,BFA,GDP per capita (current US$),68.4247344,1960
Bangladesh,BGD,GDP per capita (current US$),89.03523943,1960
Bulgaria,BGR,GDP per capita (current US$),0.0,1960
Bahrain,BHR,GDP per capita (current US$),0.0,1960
"Bahamas, The",BHS,GDP per capita (current US$),1550.267699,1960
Bosnia and Herzegovina,BIH,GDP per capita (current US$),0.0,1960
Belarus,BLR,GDP per capita (current US$),0.0,1960
Belize,BLZ,GDP per capita (current US$),304.9038598,1960
Bermuda,BMU,GDP per capita (current US$),1902.402119,1960
Bolivia,BOL,GDP per capita (current US$),102.2377224,1960
Brazil,BRA,GDP per capita (current US$),210.1098732,1960
Barbados,BRB,GDP per capita (current US$),0.0,1960
Brunei Darussalam,BRN,GDP per capita (current US$),0.0,1960
Bhutan,BTN,GDP per capita (current US$),0.0,1960
Botswana,BWA,GDP per capita (current US$),60.493958,1960
Central African Republic,CAF,GDP per capita (current US$),74.68734697,1960
Canada,CAN,GDP per capita (current US$),2259.294285,1960
Central Europe and the Baltics,CEB,GDP per capita (current US$),0.0,1960
Switzerland,CHE,GDP per capita (current US$),1787.360348,1960
Channel Islands,CHI,GDP per capita (current US$),0.0,1960
Chile,CHL,GDP per capita (current US$),505.3493255,1960
China,CHN,GDP per capita (current US$),89.52054151,1960
Cote d'Ivoire,CIV,GDP per capita (current US$),155.8996328,1960
Cameroon,CMR,GDP per capita (current US$),118.6431452,1960
"Congo, Dem. Rep.",COD,GDP per capita (current US$),220.3139899,1960
"Congo, Rep.",COG,GDP per capita (current US$),129.3703364,1960
Colombia,COL,GDP per capita (current US$),251.0415229,1960
Comoros,COM,GDP per capita (current US$),0.0,1960
Cabo Verde,CPV,GDP per capita (current US$),0.0,1960
Costa Rica,CRI,GDP per capita (current US$),381.3636818,1960
Caribbean small states,CSS,GDP per capita (current US$),448.2564174,1960
Cuba,CUB,GDP per capita (current US$),0.0,1960
Curacao,CUW,GDP per capita (current US$),0.0,1960
Cayman Islands,CYM,GDP per capita (current US$),0.0,1960
Cyprus,CYP,GDP per capita (current US$),0.0,1960
Czech Republic,CZE,GDP per capita (current US$),0.0,1960
Germany,DEU,GDP per capita (current US$),0.0,1960
Djibouti,DJI,GDP per capita (current US$),0.0,1960
Dominica,DMA,GDP per capita (current US$),0.0,1960
Denmark,DNK,GDP per capita (current US$),0.0,1960
Dominican Republic,DOM,GDP per capita (current US$),204.1148714,1960
Algeria,DZA,GDP per capita (current US$),246.3037513,1960
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),89.65277968,1960
Early-demographic dividend,EAR,GDP per capita (current US$),158.9391626,1960
East Asia & Pacific,EAS,GDP per capita (current US$),147.2355287,1960
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),0.0,1960
Europe & Central Asia,ECS,GDP per capita (current US$),0.0,1960
Ecuador,ECU,GDP per capita (current US$),455.4623888,1960
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),0.0,1960
Euro area,EMU,GDP per capita (current US$),923.1469876,1960
Eritrea,ERI,GDP per capita (current US$),0.0,1960
Spain,ESP,GDP per capita (current US$),396.3922533,1960
Estonia,EST,GDP per capita (current US$),0.0,1960
Ethiopia,ETH,GDP per capita (current US$),0.0,1960
European Union,EUU,GDP per capita (current US$),0.0,1960
Fragile and conflict affected situations,FCS,GDP per capita (current US$),140.9113183,1960
Finland,FIN,GDP per capita (current US$),1179.353011,1960
Fiji,FJI,GDP per capita (current US$),285.4742861,1960
France,FRA,GDP per capita (current US$),1334.689512,1960
Faroe Islands,FRO,GDP per capita (current US$),0.0,1960
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),0.0,1960
Gabon,GAB,GDP per capita (current US$),282.4171795,1960
United Kingdom,GBR,GDP per capita (current US$),1397.594803,1960
Georgia,GEO,GDP per capita (current US$),0.0,1960
Ghana,GHA,GDP per capita (current US$),183.4495898,1960
Gibraltar,GIB,GDP per capita (current US$),0.0,1960
Guinea,GIN,GDP per capita (current US$),0.0,1960
"Gambia, The",GMB,GDP per capita (current US$),0.0,1960
Guinea-Bissau,GNB,GDP per capita (current US$),0.0,1960
Equatorial Guinea,GNQ,GDP per capita (current US$),0.0,1960
Greece,GRC,GDP per capita (current US$),520.3227443,1960
Grenada,GRD,GDP per capita (current US$),0.0,1960
Greenland,GRL,GDP per capita (current US$),0.0,1960
Guatemala,GTM,GDP per capita (current US$),252.7561712,1960
Guam,GUM,GDP per capita (current US$),0.0,1960
Guyana,GUY,GDP per capita (current US$),297.6764225,1960
High income,HIC,GDP per capita (current US$),1402.963723,1960
"Hong Kong SAR, China",HKG,GDP per capita (current US$),429.4428744,1960
Honduras,HND,GDP per capita (current US$),164.6443995,1960
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),107.3498542,1960
Croatia,HRV,GDP per capita (current US$),0.0,1960
Haiti,HTI,GDP per capita (current US$),70.66108456,1960
Hungary,HUN,GDP per capita (current US$),0.0,1960
IBRD only,IBD,GDP per capita (current US$),164.6001653,1960
IDA & IBRD total,IBT,GDP per capita (current US$),153.3532358,1960
IDA total,IDA,GDP per capita (current US$),99.36066453,1960
IDA blend,IDB,GDP per capita (current US$),100.2035983,1960
Indonesia,IDN,GDP per capita (current US$),0.0,1960
IDA only,IDX,GDP per capita (current US$),102.9115865,1960
Isle of Man,IMN,GDP per capita (current US$),0.0,1960
India,IND,GDP per capita (current US$),82.18860274,1960
Not classified,INX,GDP per capita (current US$),0.0,1960
Ireland,IRL,GDP per capita (current US$),685.6147124,1960
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),191.680825,1960
Iraq,IRQ,GDP per capita (current US$),0.0,1960
Iceland,ISL,GDP per capita (current US$),1414.982269,1960
Israel,ISR,GDP per capita (current US$),1229.174748,1960
Italy,ITA,GDP per capita (current US$),804.4926233,1960
Jamaica,JAM,GDP per capita (current US$),429.2541461,1960
Jordan,JOR,GDP per capita (current US$),0.0,1960
Japan,JPN,GDP per capita (current US$),475.3190756,1960
Kazakhstan,KAZ,GDP per capita (current US$),0.0,1960
Kenya,KEN,GDP per capita (current US$),97.44550102,1960
Kyrgyz Republic,KGZ,GDP per capita (current US$),0.0,1960
Cambodia,KHM,GDP per capita (current US$),111.3424408,1960
Kiribati,KIR,GDP per capita (current US$),0.0,1960
St. Kitts and Nevis,KNA,GDP per capita (current US$),241.5391631,1960
"Korea, Rep.",KOR,GDP per capita (current US$),158.2493033,1960
Kuwait,KWT,GDP per capita (current US$),0.0,1960
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),332.8918833,1960
Lao PDR,LAO,GDP per capita (current US$),0.0,1960
Lebanon,LBN,GDP per capita (current US$),0.0,1960
Liberia,LBR,GDP per capita (current US$),0.0,1960
Libya,LBY,GDP per capita (current US$),0.0,1960
St. Lucia,LCA,GDP per capita (current US$),0.0,1960
Latin America & Caribbean,LCN,GDP per capita (current US$),371.4322754,1960
Least developed countries: UN classification,LDC,GDP per capita (current US$),0.0,1960
Low income,LIC,GDP per capita (current US$),0.0,1960
Liechtenstein,LIE,GDP per capita (current US$),0.0,1960
Sri Lanka,LKA,GDP per capita (current US$),142.7796219,1960
Lower middle income,LMC,GDP per capita (current US$),89.82022809,1960
Low & middle income,LMY,GDP per capita (current US$),147.8627404,1960
Lesotho,LSO,GDP per capita (current US$),41.30036454,1960
Late-demographic dividend,LTE,GDP per capita (current US$),165.7784172,1960
Lithuania,LTU,GDP per capita (current US$),0.0,1960
Luxembourg,LUX,GDP per capita (current US$),2242.015817,1960
Latvia,LVA,GDP per capita (current US$),0.0,1960
"Macao SAR, China",MAC,GDP per capita (current US$),0.0,1960
St. Martin (French part),MAF,GDP per capita (current US$),0.0,1960
Morocco,MAR,GDP per capita (current US$),164.8008324,1960
Monaco,MCO,GDP per capita (current US$),0.0,1960
Moldova,MDA,GDP per capita (current US$),0.0,1960
Madagascar,MDG,GDP per capita (current US$),131.9931654,1960
Maldives,MDV,GDP per capita (current US$),0.0,1960
Middle East & North Africa,MEA,GDP per capita (current US$),0.0,1960
Mexico,MEX,GDP per capita (current US$),345.2305408,1960
Marshall Islands,MHL,GDP per capita (current US$),0.0,1960
Middle income,MIC,GDP per capita (current US$),151.485231,1960
North Macedonia,MKD,GDP per capita (current US$),0.0,1960
Mali,MLI,GDP per capita (current US$),0.0,1960
Malta,MLT,GDP per capita (current US$),0.0,1960
Myanmar,MMR,GDP per capita (current US$),0.0,1960
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),0.0,1960
Montenegro,MNE,GDP per capita (current US$),0.0,1960
Mongolia,MNG,GDP per capita (current US$),0.0,1960
Northern Mariana Islands,MNP,GDP per capita (current US$),0.0,1960
Mozambique,MOZ,GDP per capita (current US$),0.0,1960
Mauritania,MRT,GDP per capita (current US$),0.0,1960
Mauritius,MUS,GDP per capita (current US$),0.0,1960
Malawi,MWI,GDP per capita (current US$),44.52394299,1960
Malaysia,MYS,GDP per capita (current US$),234.9388974,1960
North America,NAC,GDP per capita (current US$),2939.448335,1960
Namibia,NAM,GDP per capita (current US$),0.0,1960
New Caledonia,NCL,GDP per capita (current US$),0.0,1960
Niger,NER,GDP per capita (current US$),132.651771,1960
Nigeria,NGA,GDP per capita (current US$),92.9604656,1960
Nicaragua,NIC,GDP per capita (current US$),126.248168,1960
Netherlands,NLD,GDP per capita (current US$),1068.784587,1960
Norway,NOR,GDP per capita (current US$),1441.75566,1960
Nepal,NPL,GDP per capita (current US$),50.30493772,1960
Nauru,NRU,GDP per capita (current US$),0.0,1960
New Zealand,NZL,GDP per capita (current US$),2312.949992,1960
OECD members,OED,GDP per capita (current US$),1335.435766,1960
Oman,OMN,GDP per capita (current US$),0.0,1960
Other small states,OSS,GDP per capita (current US$),0.0,1960
Pakistan,PAK,GDP per capita (current US$),83.33794593,1960
Panama,PAN,GDP per capita (current US$),474.0906704,1960
Peru,PER,GDP per capita (current US$),253.2649213,1960
Philippines,PHL,GDP per capita (current US$),254.4588774,1960
Palau,PLW,GDP per capita (current US$),0.0,1960
Papua New Guinea,PNG,GDP per capita (current US$),102.1766587,1960
Poland,POL,GDP per capita (current US$),0.0,1960
Pre-demographic dividend,PRE,GDP per capita (current US$),111.6718375,1960
Puerto Rico,PRI,GDP per capita (current US$),717.5148431,1960
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),0.0,1960
Portugal,PRT,GDP per capita (current US$),360.4992985,1960
Paraguay,PRY,GDP per capita (current US$),0.0,1960
West Bank and Gaza,PSE,GDP per capita (current US$),0.0,1960
Pacific island small states,PSS,GDP per capita (current US$),0.0,1960
Post-demographic dividend,PST,GDP per capita (current US$),1385.448818,1960
French Polynesia,PYF,GDP per capita (current US$),0.0,1960
Qatar,QAT,GDP per capita (current US$),0.0,1960
Romania,ROU,GDP per capita (current US$),0.0,1960
Russian Federation,RUS,GDP per capita (current US$),0.0,1960
Rwanda,RWA,GDP per capita (current US$),40.53721128,1960
South Asia,SAS,GDP per capita (current US$),82.34539891,1960
Saudi Arabia,SAU,GDP per capita (current US$),0.0,1960
Sudan,SDN,GDP per capita (current US$),125.859839,1960
Senegal,SEN,GDP per capita (current US$),312.9929628,1960
Singapore,SGP,GDP per capita (current US$),428.05898,1960
Solomon Islands,SLB,GDP per capita (current US$),0.0,1960
Sierra Leone,SLE,GDP per capita (current US$),138.9386399,1960
El Salvador,SLV,GDP per capita (current US$),0.0,1960
San Marino,SMR,GDP per capita (current US$),0.0,1960
Somalia,SOM,GDP per capita (current US$),65.47971611,1960
Serbia,SRB,GDP per capita (current US$),0.0,1960
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),128.7075576,1960
South Sudan,SSD,GDP per capita (current US$),0.0,1960
Sub-Saharan Africa,SSF,GDP per capita (current US$),128.7340484,1960
Small states,SST,GDP per capita (current US$),0.0,1960
Sao Tome and Principe,STP,GDP per capita (current US$),0.0,1960
Suriname,SUR,GDP per capita (current US$),346.1631987,1960
Slovak Republic,SVK,GDP per capita (current US$),0.0,1960
Slovenia,SVN,GDP per capita (current US$),0.0,1960
Sweden,SWE,GDP per capita (current US$),2114.002973,1960
Eswatini,SWZ,GDP per capita (current US$),104.2140558,1960
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),0.0,1960
Seychelles,SYC,GDP per capita (current US$),288.057842,1960
Syrian Arab Republic,SYR,GDP per capita (current US$),187.5372923,1960
